model,arm,naming,branching,role,layer,dim,seed,rho_cond_euc,rho_hyp,delta,shuffle_rho_hyp,n_train,n_val
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,12,16,4,0.2331,0.2924,0.0594,-0.0564,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,12,2,5,0.0352,0.0771,0.0419,-0.0299,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,12,3,5,0.0505,0.1465,0.096,-0.0255,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,12,5,5,0.1017,0.251,0.1493,-0.0461,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,12,8,5,0.1194,0.3059,0.1864,-0.0346,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,12,16,5,0.252,0.1906,-0.0614,0.0234,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,16,2,0,0.0685,0.0922,0.0237,-0.0076,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,16,3,0,0.052,0.1568,0.1048,-0.0213,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,16,5,0,0.0914,0.2453,0.1539,-0.0293,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,16,8,0,0.1085,0.2747,0.1662,-0.0269,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,16,16,0,0.2309,0.2673,0.0364,-0.0466,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,16,2,1,0.0324,0.099,0.0666,0.0162,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,16,3,1,0.0358,0.1846,0.1488,-0.0193,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,16,5,1,0.0598,0.2221,0.1624,-0.0063,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,16,8,1,0.1523,0.2398,0.0875,-0.0165,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,16,16,1,0.2272,0.2658,0.0386,-0.0129,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,16,2,2,0.0216,0.0658,0.0442,-0.016,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,16,3,2,0.0192,0.1633,0.1441,0.0062,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,16,5,2,0.0808,0.2455,0.1646,0.0207,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,16,8,2,0.15,0.3175,0.1674,0.0241,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,16,16,2,0.2781,0.4187,0.1405,0.0196,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,16,2,3,0.0104,0.0846,0.0742,-0.0123,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,16,3,3,0.0669,0.1133,0.0464,0.0191,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,16,5,3,0.0837,0.2666,0.1829,-0.0011,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,16,8,3,0.1305,0.2887,0.1582,-0.0155,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,16,16,3,0.2309,0.3457,0.1148,-0.0608,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,16,2,4,0.0683,0.0531,-0.0152,-0.0467,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,16,3,4,0.066,0.1699,0.1039,-0.0365,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,16,5,4,0.0797,0.27,0.1903,-0.0128,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,16,8,4,0.1608,0.1452,-0.0156,-0.0439,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,16,16,4,0.2401,0.2834,0.0433,-0.0199,42,18
