model,dataset,layer,token_source,metric,delta_data,delta_flat,delta_tree,delta_cluster,span,score,excess_over_cluster,noise_floor,n,dim
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,thinking,background,0.1619,0.1305,0.063,0.1081,0.0675,-0.4646,-0.0537,0.011,99,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,last,raw,0.0893,0.0329,0.0748,0.0397,-0.042,,-0.0496,0.0053,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,last,pca_only,0.1013,0.2167,0.0745,0.1711,0.1422,0.8113,0.0698,0.0101,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,last,per_cloud,0.1025,0.2168,0.1122,0.1691,0.1045,1.0934,0.0666,0.0098,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,last,background,0.1128,0.132,0.0649,0.1399,0.0671,0.2858,0.0271,0.0049,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,all,raw,0.1444,0.0329,0.0748,0.0462,-0.042,,-0.0982,0.0175,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,all,pca_only,0.1531,0.2167,0.0745,0.1387,0.1422,0.4473,-0.0144,0.0193,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,all,per_cloud,0.1775,0.2168,0.1122,0.1472,0.1045,0.3754,-0.0304,0.0123,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,all,background,0.1173,0.132,0.0649,0.1073,0.0671,0.2196,-0.0099,0.0314,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,input,raw,0.2371,0.0329,0.0748,0.1027,-0.042,,-0.1345,0.0117,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,input,pca_only,0.2402,0.2167,0.0745,0.1169,0.1422,-0.1656,-0.1233,0.0117,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,input,per_cloud,0.2007,0.2168,0.1122,0.1202,0.1045,0.1534,-0.0805,0.0049,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,input,background,0.2492,0.1338,0.0881,0.1066,0.0457,-2.5256,-0.1426,0.0061,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,generated,raw,0.1269,0.0329,0.0748,0.0427,-0.042,,-0.0842,0.0188,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,generated,pca_only,0.1363,0.2167,0.0745,0.1287,0.1422,0.5655,-0.0076,0.021,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,generated,per_cloud,0.18,0.2168,0.1122,0.1262,0.1045,0.3514,-0.0538,0.0109,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,generated,background,0.1169,0.1338,0.0881,0.0976,0.0457,0.3708,-0.0193,0.0296,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,thinking,raw,0.1591,0.032,0.0753,0.0348,-0.0433,,-0.1243,0.0105,99,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,thinking,pca_only,0.163,0.2172,0.075,0.124,0.1421,0.3814,-0.0389,0.0113,99,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,thinking,per_cloud,0.1535,0.2178,0.0947,0.119,0.1231,0.5222,-0.0345,0.0077,99,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,thinking,background,0.1623,0.1308,0.0878,0.1136,0.043,-0.7308,-0.0487,0.012,99,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,last,raw,0.0869,0.0329,0.0748,0.0402,-0.042,,-0.0467,0.0063,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,last,pca_only,0.0991,0.2167,0.0745,0.1735,0.1422,0.827,0.0744,0.0093,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,last,per_cloud,0.0987,0.2168,0.1122,0.1713,0.1045,1.1294,0.0726,0.0101,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,last,background,0.1095,0.1338,0.0881,0.1375,0.0457,0.5313,0.0279,0.005,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,all,raw,0.1345,0.0329,0.0748,0.0474,-0.042,,-0.0871,0.0186,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,all,pca_only,0.1424,0.2167,0.0745,0.1332,0.1422,0.5227,-0.0091,0.0205,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,all,per_cloud,0.1811,0.2168,0.1122,0.1355,0.1045,0.3416,-0.0456,0.0119,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,all,background,0.1129,0.1338,0.0881,0.1,0.0457,0.4582,-0.0128,0.0345,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,7,input,raw,0.2456,0.0329,0.0748,0.0928,-0.042,,-0.1528,0.015,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,7,input,pca_only,0.2508,0.2167,0.0745,0.1086,0.1422,-0.2405,-0.1422,0.0151,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,7,input,per_cloud,0.2039,0.2168,0.1122,0.114,0.1045,0.123,-0.0899,0.0048,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,7,input,background,0.2386,0.129,0.0808,0.097,0.0481,-2.279,-0.1416,0.006,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,7,generated,raw,0.1226,0.0329,0.0748,0.0443,-0.042,,-0.0782,0.019,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,7,generated,pca_only,0.1312,0.2167,0.0745,0.1262,0.1422,0.6013,-0.005,0.0203,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,7,generated,per_cloud,0.1766,0.2168,0.1122,0.1227,0.1045,0.3845,-0.0538,0.011,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,7,generated,background,0.1085,0.129,0.0808,0.0947,0.0481,0.4243,-0.0138,0.0315,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,7,thinking,raw,0.1502,0.032,0.0753,0.0354,-0.0433,,-0.1148,0.0117,99,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,7,thinking,pca_only,0.1542,0.2172,0.075,0.1228,0.1421,0.443,-0.0314,0.012,99,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,7,thinking,per_cloud,0.1566,0.2178,0.0947,0.1177,0.1231,0.497,-0.0389,0.0078,99,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,7,thinking,background,0.1575,0.1263,0.08,0.105,0.0463,-0.6731,-0.0525,0.0111,99,3584
