model,dataset,layer,token_source,metric,delta_rel,noise_floor,cloud_kind
Qwen/Qwen2.5-7B,prontoqa,12,all,raw,0.2157,0.0048,data
Qwen/Qwen2.5-7B,prontoqa,12,all,pca_only,0.217,0.0048,data
Qwen/Qwen2.5-7B,prontoqa,12,all,per_cloud,0.1115,0.003,data
Qwen/Qwen2.5-7B,prontoqa,12,all,background,0.2129,0.0042,data
Qwen/Qwen2.5-7B,prontoqa,13,input,raw,0.2047,0.0065,data
Qwen/Qwen2.5-7B,prontoqa,13,input,pca_only,0.2068,0.0065,data
Qwen/Qwen2.5-7B,prontoqa,13,input,per_cloud,0.1134,0.0023,data
Qwen/Qwen2.5-7B,prontoqa,13,input,background,0.2227,0.0069,data
Qwen/Qwen2.5-7B,prontoqa,13,generated,raw,0.2358,0.0068,data
Qwen/Qwen2.5-7B,prontoqa,13,generated,pca_only,0.2376,0.0068,data
Qwen/Qwen2.5-7B,prontoqa,13,generated,per_cloud,0.1065,0.0024,data
Qwen/Qwen2.5-7B,prontoqa,13,generated,background,0.222,0.0066,data
Qwen/Qwen2.5-7B,prontoqa,13,thinking,raw,0.1796,0.007,data
Qwen/Qwen2.5-7B,prontoqa,13,thinking,pca_only,0.1802,0.0069,data
Qwen/Qwen2.5-7B,prontoqa,13,thinking,per_cloud,0.0803,0.0021,data
Qwen/Qwen2.5-7B,prontoqa,13,thinking,background,0.166,0.0073,data
Qwen/Qwen2.5-7B,prontoqa,13,last,raw,0.1473,0.0067,data
Qwen/Qwen2.5-7B,prontoqa,13,last,pca_only,0.1475,0.0067,data
Qwen/Qwen2.5-7B,prontoqa,13,last,per_cloud,0.0816,0.0025,data
Qwen/Qwen2.5-7B,prontoqa,13,last,background,0.1581,0.0048,data
Qwen/Qwen2.5-7B,prontoqa,13,all,raw,0.2155,0.005,data
Qwen/Qwen2.5-7B,prontoqa,13,all,pca_only,0.2172,0.005,data
Qwen/Qwen2.5-7B,prontoqa,13,all,per_cloud,0.1123,0.0024,data
Qwen/Qwen2.5-7B,prontoqa,13,all,background,0.2093,0.0051,data
Qwen/Qwen2.5-7B,prontoqa,14,input,raw,0.1932,0.006,data
Qwen/Qwen2.5-7B,prontoqa,14,input,pca_only,0.1957,0.0062,data
Qwen/Qwen2.5-7B,prontoqa,14,input,per_cloud,0.1141,0.002,data
Qwen/Qwen2.5-7B,prontoqa,14,input,background,0.2126,0.0069,data
Qwen/Qwen2.5-7B,prontoqa,14,generated,raw,0.2456,0.0069,data
Qwen/Qwen2.5-7B,prontoqa,14,generated,pca_only,0.2477,0.0069,data
Qwen/Qwen2.5-7B,prontoqa,14,generated,per_cloud,0.1067,0.0029,data
Qwen/Qwen2.5-7B,prontoqa,14,generated,background,0.2291,0.0069,data
Qwen/Qwen2.5-7B,prontoqa,14,thinking,raw,0.1833,0.007,data
Qwen/Qwen2.5-7B,prontoqa,14,thinking,pca_only,0.1838,0.007,data
Qwen/Qwen2.5-7B,prontoqa,14,thinking,per_cloud,0.0806,0.0018,data
Qwen/Qwen2.5-7B,prontoqa,14,thinking,background,0.1724,0.0075,data
