model,dataset,layer,token_source,metric,delta_data,delta_flat,delta_tree,delta_cluster,span,score,excess_over_cluster,noise_floor,n,dim
Qwen/Qwen2.5-7B,prontoqa,7,all,background,0.2207,0.1331,0.0495,0.0829,0.0836,-1.0473,-0.1378,0.0076,100,3584
Qwen/Qwen2.5-7B,prontoqa,8,input,raw,0.2303,0.0329,0.0748,0.1165,-0.042,,-0.1138,0.0064,100,3584
Qwen/Qwen2.5-7B,prontoqa,8,input,pca_only,0.2393,0.2167,0.0745,0.1326,0.1422,-0.1592,-0.1067,0.0069,100,3584
Qwen/Qwen2.5-7B,prontoqa,8,input,per_cloud,0.2025,0.2168,0.1122,0.1512,0.1045,0.1364,-0.0513,0.0043,100,3584
Qwen/Qwen2.5-7B,prontoqa,8,input,background,0.2354,0.134,0.0647,0.1229,0.0693,-1.4621,-0.1125,0.0045,100,3584
Qwen/Qwen2.5-7B,prontoqa,8,generated,raw,0.2333,0.0329,0.0748,0.0859,-0.042,,-0.1473,0.0099,100,3584
Qwen/Qwen2.5-7B,prontoqa,8,generated,pca_only,0.2429,0.2167,0.0745,0.0986,0.1422,-0.1849,-0.1443,0.0093,100,3584
Qwen/Qwen2.5-7B,prontoqa,8,generated,per_cloud,0.1882,0.2168,0.1122,0.1553,0.1045,0.2735,-0.0329,0.0062,100,3584
Qwen/Qwen2.5-7B,prontoqa,8,generated,background,0.2027,0.134,0.0647,0.0781,0.0693,-0.9902,-0.1246,0.007,100,3584
Qwen/Qwen2.5-7B,prontoqa,8,thinking,raw,0.1978,0.0329,0.0748,0.0568,-0.042,,-0.141,0.0142,100,3584
Qwen/Qwen2.5-7B,prontoqa,8,thinking,pca_only,0.1989,0.2167,0.0745,0.1046,0.1422,0.1246,-0.0944,0.0145,100,3584
Qwen/Qwen2.5-7B,prontoqa,8,thinking,per_cloud,0.1336,0.2168,0.1122,0.1229,0.1045,0.7956,-0.0107,0.0062,100,3584
Qwen/Qwen2.5-7B,prontoqa,8,thinking,background,0.212,0.134,0.0647,0.1313,0.0693,-1.1249,-0.0807,0.0166,100,3584
Qwen/Qwen2.5-7B,prontoqa,8,last,raw,0.0353,0.0329,0.0748,0.0363,-0.042,,0.001,0.0056,100,3584
Qwen/Qwen2.5-7B,prontoqa,8,last,pca_only,0.0364,0.2167,0.0745,0.2013,0.1422,1.2676,0.1648,0.0051,100,3584
Qwen/Qwen2.5-7B,prontoqa,8,last,per_cloud,0.1421,0.2168,0.1122,0.206,0.1045,0.7143,0.0639,0.0073,100,3584
Qwen/Qwen2.5-7B,prontoqa,8,last,background,0.1187,0.134,0.0647,0.1257,0.0693,0.2207,0.007,0.003,100,3584
Qwen/Qwen2.5-7B,prontoqa,8,all,raw,0.215,0.0329,0.0748,0.0969,-0.042,,-0.118,0.008,100,3584
Qwen/Qwen2.5-7B,prontoqa,8,all,pca_only,0.2245,0.2167,0.0745,0.0935,0.1422,-0.0554,-0.131,0.0083,100,3584
Qwen/Qwen2.5-7B,prontoqa,8,all,per_cloud,0.1973,0.2168,0.1122,0.154,0.1045,0.186,-0.0433,0.0075,100,3584
Qwen/Qwen2.5-7B,prontoqa,8,all,background,0.2054,0.134,0.0647,0.0803,0.0693,-1.0294,-0.1251,0.0054,100,3584
Qwen/Qwen2.5-7B,prontoqa,9,input,raw,0.2269,0.0329,0.0748,0.1185,-0.042,,-0.1084,0.0071,100,3584
Qwen/Qwen2.5-7B,prontoqa,9,input,pca_only,0.2355,0.2167,0.0745,0.1275,0.1422,-0.1329,-0.108,0.0069,100,3584
