model,dataset,layer,token_source,metric,delta_data,delta_flat,delta_tree,delta_cluster,span,score,excess_over_cluster,noise_floor,n,dim
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,all,pca_only,0.2285,0.2167,0.0745,0.1522,0.1422,-0.0833,-0.0763,0.0084,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,all,per_cloud,0.2062,0.2168,0.1122,0.1573,0.1045,0.1013,-0.0489,0.0042,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,all,background,0.1868,0.1329,0.0672,0.1425,0.0657,-0.8201,-0.0443,0.0077,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,4,input,raw,0.2463,0.0329,0.0748,0.105,-0.042,,-0.1414,0.0058,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,4,input,pca_only,0.2498,0.2167,0.0745,0.1357,0.1422,-0.233,-0.1141,0.0058,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,4,input,per_cloud,0.2034,0.2168,0.1122,0.1434,0.1045,0.1275,-0.06,0.0047,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,4,input,background,0.2496,0.132,0.0645,0.1166,0.0676,-1.7404,-0.133,0.0089,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,4,generated,raw,0.2018,0.0329,0.0748,0.0526,-0.042,,-0.1492,0.009,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,4,generated,pca_only,0.2185,0.2167,0.0745,0.155,0.1422,-0.013,-0.0635,0.0091,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,4,generated,per_cloud,0.2051,0.2168,0.1122,0.1641,0.1045,0.1115,-0.0411,0.0052,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,4,generated,background,0.1754,0.132,0.0645,0.1276,0.0676,-0.6423,-0.0478,0.0087,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,4,thinking,raw,0.1597,0.0329,0.0748,0.0677,-0.042,,-0.0919,0.009,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,4,thinking,pca_only,0.1676,0.2167,0.0745,0.1138,0.1422,0.3453,-0.0538,0.0091,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,4,thinking,per_cloud,0.1678,0.2168,0.1122,0.0916,0.1045,0.4688,-0.0761,0.0099,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,4,thinking,background,0.174,0.132,0.0645,0.2065,0.0676,-0.6215,0.0325,0.0111,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,4,last,raw,0.078,0.0329,0.0748,0.0375,-0.042,,-0.0405,0.0067,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,4,last,pca_only,0.0798,0.2167,0.0745,0.1764,0.1422,0.9629,0.0966,0.007,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,4,last,per_cloud,0.122,0.2168,0.1122,0.1819,0.1045,0.9064,0.0598,0.0081,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,4,last,background,0.123,0.132,0.0645,0.1387,0.0676,0.1341,0.0157,0.0084,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,4,all,raw,0.2099,0.0329,0.0748,0.0502,-0.042,,-0.1597,0.0097,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,4,all,pca_only,0.2268,0.2167,0.0745,0.1577,0.1422,-0.0715,-0.0691,0.0098,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,4,all,per_cloud,0.2071,0.2168,0.1122,0.1641,0.1045,0.0925,-0.043,0.0056,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,4,all,background,0.1831,0.132,0.0645,0.1238,0.0676,-0.7564,-0.0593,0.0085,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,input,raw,0.2399,0.0329,0.0748,0.1237,-0.042,,-0.1162,0.0076,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,input,pca_only,0.2424,0.2167,0.0745,0.1295,0.1422,-0.1812,-0.1129,0.0079,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,input,per_cloud,0.2048,0.2168,0.1122,0.1379,0.1045,0.1143,-0.0669,0.0054,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,input,background,0.2554,0.1308,0.0701,0.1135,0.0607,-2.0518,-0.1419,0.0068,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,generated,raw,0.1998,0.0329,0.0748,0.0515,-0.042,,-0.1483,0.0083,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,generated,pca_only,0.2204,0.2167,0.0745,0.1594,0.1422,-0.0261,-0.061,0.0088,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,generated,per_cloud,0.204,0.2168,0.1122,0.1651,0.1045,0.122,-0.0389,0.0053,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,generated,background,0.1808,0.1308,0.0701,0.1126,0.0607,-0.8225,-0.0681,0.0089,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,thinking,raw,0.1584,0.0329,0.0748,0.0727,-0.042,,-0.0858,0.0083,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,thinking,pca_only,0.1664,0.2167,0.0745,0.12,0.1422,0.3534,-0.0464,0.0082,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,thinking,per_cloud,0.1643,0.2168,0.1122,0.0921,0.1045,0.502,-0.0721,0.0096,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,thinking,background,0.1786,0.1308,0.0701,0.2069,0.0607,-0.787,0.0283,0.0104,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,last,raw,0.0814,0.0329,0.0748,0.0391,-0.042,,-0.0424,0.0057,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,last,pca_only,0.0831,0.2167,0.0745,0.1765,0.1422,0.9396,0.0934,0.0056,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,last,per_cloud,0.1246,0.2168,0.1122,0.1783,0.1045,0.8819,0.0537,0.0101,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,last,background,0.1207,0.1308,0.0701,0.1328,0.0607,0.1675,0.0121,0.0104,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,all,raw,0.2102,0.0329,0.0748,0.0493,-0.042,,-0.1609,0.0087,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,all,pca_only,0.2271,0.2167,0.0745,0.1555,0.1422,-0.0734,-0.0716,0.0089,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,all,per_cloud,0.2029,0.2168,0.1122,0.1648,0.1045,0.1328,-0.0381,0.0054,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,all,background,0.1833,0.1308,0.0701,0.1106,0.0607,-0.8636,-0.0726,0.008,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,input,raw,0.2558,0.0329,0.0748,0.0919,-0.042,,-0.1639,0.0147,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,input,pca_only,0.2588,0.2167,0.0745,0.129,0.1422,-0.2965,-0.1298,0.015,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,input,per_cloud,0.2036,0.2168,0.1122,0.1309,0.1045,0.1258,-0.0727,0.0051,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,input,background,0.253,0.131,0.0578,0.1135,0.0732,-1.6667,-0.1395,0.0065,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,generated,raw,0.1992,0.0329,0.0748,0.0515,-0.042,,-0.1477,0.009,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,generated,pca_only,0.2188,0.2167,0.0745,0.1557,0.1422,-0.0151,-0.0631,0.0092,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,generated,per_cloud,0.2053,0.2168,0.1122,0.1638,0.1045,0.1098,-0.0415,0.0058,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,generated,background,0.1958,0.131,0.0578,0.1083,0.0732,-0.8857,-0.0875,0.01,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,thinking,raw,0.159,0.0329,0.0748,0.0736,-0.042,,-0.0854,0.0076,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,thinking,pca_only,0.1685,0.2167,0.0745,0.1231,0.1422,0.3387,-0.0454,0.0076,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,thinking,per_cloud,0.1635,0.2168,0.1122,0.094,0.1045,0.5099,-0.0695,0.0095,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,thinking,background,0.1685,0.131,0.0578,0.2302,0.0732,-0.5119,0.0617,0.0087,100,3584
