model,dataset,layer,token_source,metric,delta_data,delta_flat,delta_tree,delta_cluster,span,score,excess_over_cluster,noise_floor,n,dim
Qwen/Qwen2.5-7B,prontoqa,4,all,pca_only,0.2344,0.2167,0.0745,0.1345,0.1422,-0.1246,-0.0999,0.0066,100,3584
Qwen/Qwen2.5-7B,prontoqa,4,all,per_cloud,0.1945,0.2168,0.1122,0.1464,0.1045,0.2135,-0.0481,0.0066,100,3584
Qwen/Qwen2.5-7B,prontoqa,4,all,background,0.1999,0.1409,0.0687,0.1013,0.0722,-0.8164,-0.0985,0.007,100,3584
Qwen/Qwen2.5-7B,prontoqa,5,input,raw,0.2478,0.0329,0.0748,0.1093,-0.042,,-0.1385,0.0083,100,3584
Qwen/Qwen2.5-7B,prontoqa,5,input,pca_only,0.2515,0.2167,0.0745,0.1582,0.1422,-0.245,-0.0933,0.0084,100,3584
Qwen/Qwen2.5-7B,prontoqa,5,input,per_cloud,0.2079,0.2168,0.1122,0.2004,0.1045,0.085,-0.0074,0.0058,100,3584
Qwen/Qwen2.5-7B,prontoqa,5,input,background,0.2428,0.1371,0.0605,0.1246,0.0766,-1.38,-0.1182,0.0096,100,3584
Qwen/Qwen2.5-7B,prontoqa,5,generated,raw,0.2079,0.0329,0.0748,0.0468,-0.042,,-0.161,0.0062,100,3584
Qwen/Qwen2.5-7B,prontoqa,5,generated,pca_only,0.2243,0.2167,0.0745,0.1289,0.1422,-0.0536,-0.0954,0.0066,100,3584
Qwen/Qwen2.5-7B,prontoqa,5,generated,per_cloud,0.1881,0.2168,0.1122,0.1437,0.1045,0.2738,-0.0444,0.0074,100,3584
Qwen/Qwen2.5-7B,prontoqa,5,generated,background,0.1883,0.1371,0.0605,0.0913,0.0766,-0.6682,-0.097,0.0059,100,3584
Qwen/Qwen2.5-7B,prontoqa,5,thinking,raw,0.2262,0.0322,0.0761,0.0523,-0.0439,,-0.1739,0.0098,91,3584
Qwen/Qwen2.5-7B,prontoqa,5,thinking,pca_only,0.2281,0.2268,0.0758,0.1575,0.151,-0.0084,-0.0705,0.0099,91,3584
Qwen/Qwen2.5-7B,prontoqa,5,thinking,per_cloud,0.1312,0.2276,0.1002,0.1374,0.1273,0.7569,0.0062,0.0092,91,3584
Qwen/Qwen2.5-7B,prontoqa,5,thinking,background,0.2442,0.1353,0.0606,0.1512,0.0746,-1.4606,-0.0931,0.0159,91,3584
Qwen/Qwen2.5-7B,prontoqa,5,last,raw,0.0829,0.0329,0.0748,0.053,-0.042,,-0.0299,0.0109,100,3584
Qwen/Qwen2.5-7B,prontoqa,5,last,pca_only,0.0832,0.2167,0.0745,0.1863,0.1422,0.9386,0.103,0.011,100,3584
Qwen/Qwen2.5-7B,prontoqa,5,last,per_cloud,0.124,0.2168,0.1122,0.1772,0.1045,0.8871,0.0531,0.0074,100,3584
Qwen/Qwen2.5-7B,prontoqa,5,last,background,0.1352,0.1371,0.0605,0.1659,0.0766,0.0244,0.0307,0.0188,100,3584
Qwen/Qwen2.5-7B,prontoqa,5,all,raw,0.2209,0.0329,0.0748,0.0617,-0.042,,-0.1592,0.0074,100,3584
Qwen/Qwen2.5-7B,prontoqa,5,all,pca_only,0.2325,0.2167,0.0745,0.1361,0.1422,-0.1114,-0.0964,0.0074,100,3584
Qwen/Qwen2.5-7B,prontoqa,5,all,per_cloud,0.1971,0.2168,0.1122,0.1463,0.1045,0.1886,-0.0508,0.0062,100,3584
Qwen/Qwen2.5-7B,prontoqa,5,all,background,0.2006,0.1371,0.0605,0.1053,0.0766,-0.8293,-0.0954,0.0066,100,3584
Qwen/Qwen2.5-7B,prontoqa,6,input,raw,0.2413,0.0329,0.0748,0.1164,-0.042,,-0.1249,0.0075,100,3584
Qwen/Qwen2.5-7B,prontoqa,6,input,pca_only,0.2461,0.2167,0.0745,0.1607,0.1422,-0.207,-0.0853,0.0077,100,3584
Qwen/Qwen2.5-7B,prontoqa,6,input,per_cloud,0.2108,0.2168,0.1122,0.2015,0.1045,0.0568,-0.0093,0.0057,100,3584
Qwen/Qwen2.5-7B,prontoqa,6,input,background,0.2453,0.1394,0.0523,0.1217,0.0871,-1.2164,-0.1237,0.008,100,3584
Qwen/Qwen2.5-7B,prontoqa,6,generated,raw,0.2009,0.0329,0.0748,0.0545,-0.042,,-0.1463,0.0064,100,3584
Qwen/Qwen2.5-7B,prontoqa,6,generated,pca_only,0.2164,0.2167,0.0745,0.1258,0.1422,0.0017,-0.0906,0.0072,100,3584
Qwen/Qwen2.5-7B,prontoqa,6,generated,per_cloud,0.1874,0.2168,0.1122,0.1444,0.1045,0.2811,-0.043,0.0069,100,3584
Qwen/Qwen2.5-7B,prontoqa,6,generated,background,0.1855,0.1394,0.0523,0.0896,0.0871,-0.5298,-0.0959,0.0053,100,3584
Qwen/Qwen2.5-7B,prontoqa,6,thinking,raw,0.2285,0.0322,0.0761,0.0524,-0.0439,,-0.1761,0.0095,91,3584
Qwen/Qwen2.5-7B,prontoqa,6,thinking,pca_only,0.2307,0.2268,0.0758,0.1523,0.151,-0.0261,-0.0784,0.0096,91,3584
Qwen/Qwen2.5-7B,prontoqa,6,thinking,per_cloud,0.1248,0.2276,0.1002,0.1342,0.1273,0.8071,0.0094,0.0072,91,3584
Qwen/Qwen2.5-7B,prontoqa,6,thinking,background,0.2591,0.1398,0.0522,0.1747,0.0876,-1.3626,-0.0844,0.0206,91,3584
Qwen/Qwen2.5-7B,prontoqa,6,last,raw,0.0713,0.0329,0.0748,0.0513,-0.042,,-0.0199,0.009,100,3584
Qwen/Qwen2.5-7B,prontoqa,6,last,pca_only,0.0716,0.2167,0.0745,0.1827,0.1422,1.0206,0.1111,0.0091,100,3584
Qwen/Qwen2.5-7B,prontoqa,6,last,per_cloud,0.1205,0.2168,0.1122,0.1698,0.1045,0.9207,0.0493,0.007,100,3584
Qwen/Qwen2.5-7B,prontoqa,6,last,background,0.1217,0.1394,0.0523,0.159,0.0871,0.2034,0.0373,0.0137,100,3584
